"event_id","disease","serotype","lat","lon","locality","country","region","location","observation_date","report_date","display_date","species","diagnosis_source","humans_affected","humans_deaths"
294455,"Influenza - Avian","H5N1 HPAI",53.9,9.17,"Dithmarschen (landkreis)","Germany","Europe","Dithmarschen (landkreis), Germany, Europe","2021-03-11","2021-04-29","2021-03-11","Wild,Accipitridae (Accipitridae) / Wild,Laridae (unidentified):Laridae (incognita)(Laridae)","OIE",,
294454,"Influenza - Avian","H5N1 HPAI",54.7,8.77,"nordfriesland (landkreis)","Germany","Europe","nordfriesland (landkreis), Germany, Europe","2021-03-24","2021-04-29","2021-03-24","Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae)","OIE",,
294453,"Influenza - Avian","H5N1 HPAI",54.79,9.92,"schleswig-flensburg (landkreis)","Germany","Europe","schleswig-flensburg (landkreis), Germany, Europe","2021-04-16","2021-04-29","2021-04-16","Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae)","OIE",,
294452,"Influenza - Avian","H5N4 HPAI",53.55,10.09,"hamburg","Germany","Europe","hamburg, Germany, Europe","2021-02-25","2021-04-29","2021-02-25","Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae) / Wild,Accipitridae (Accipitridae)","OIE",,
294451,"Influenza - Avian","H5N8 HPAI",54.470038,9.51416,"lübeck","Germany","Europe","lübeck, Germany, Europe","2021-02-26","2021-04-29","2021-02-26","Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae) / Wild,Swan / Wild,Laridae (unidentified):Laridae (incognita)(Laridae)","OIE",,
294450,"Influenza - Avian","H5N8 HPAI",54.470038,9.51416,"Steinburg (Landkreis)","Germany","Europe","Steinburg (Landkreis), Germany, Europe","2021-02-23","2021-04-29","2021-02-23","Wild,Strigidae (unidentified):Strigidae (incognita)(Strigidae) / Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae) / Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae)","OIE",,
294285,"Influenza - Avian","H5N8 HPAI",53.91,10.44,"segeberg (landkreis)","Germany","Europe","segeberg (landkreis), Germany, Europe","2021-03-05","2021-04-29","2021-03-05","Wild,Accipitridae (Accipitridae) / Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae) / Wild,Swan / Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae)","OIE",,
294284,"Influenza - Avian","H5N8 HPAI",54.17,10.02,"rendsburg-eckernförde (landkreis)","Germany","Europe","rendsburg-eckernförde (landkreis), Germany, Europe","2021-03-04","2021-04-29","2021-03-04","Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae) / Wild,Swan / Wild,Accipitridae (Accipitridae)","OIE",,
294283,"Influenza - Avian","H5N8 HPAI",53.369,10.565,"herzogtum lauenburg (landkreis)","Germany","Europe","herzogtum lauenburg (landkreis), Germany, Europe","2021-04-08","2021-04-29","2021-04-08","Wild,Laridae (unidentified):Laridae (incognita)(Laridae)","OIE",,
294282,"Influenza - Avian","H5N8 HPAI",54.15,10.44,"plön (landkreis)","Germany","Europe","plön (landkreis), Germany, Europe","2021-02-27","2021-04-29","2021-02-27","Wild,Accipitridae (Accipitridae) / Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae) / Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae) / Wild,Swan","OIE",,
