Nº,Fecha,Comarca,ID CG,Nº brotes,Nº mov. Riesgo,Grado alerta,Temperatura estimada,Supervivencia del virus en días
1,12,MERIDA,SP06083,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,13,ZAMORA,SP49275,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,13,ZAMORA,SP49275,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,14,COLMENAR VIEJO,SP28045,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,14,COLMENAR VIEJO,SP28045,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,15,BADAJOZ,SP06015,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,15,BADAJOZ,SP06015,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,16,MALAGA (GUADAHORCE ORIENTAL),SP29067,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,16,MALAGA (GUADAHORCE ORIENTAL),SP29067,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,17,DON BENITO,SP06044,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,17,DON BENITO,SP06044,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,18,ARANJUEZ,SP28013,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,18,ARANJUEZ,SP28013,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,19,LA JANDA,SP11023,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
