Nº,Fecha,Comarca,ID CG,Nº brotes,Nº mov. Riesgo,Grado alerta,Temperatura estimada,Supervivencia del virus en días
59,2021-01-18,BÉJAR,SP37046,7,0.0201,1,-1.4429,66
60,2021-01-18,ESTELLA,SP31097,7,0.1448,3,2.1571,23.9281
61,2021-01-18,TAFALLA,SP31227,7,0.1709,3,2.6714,22.256
62,2021-01-18,XALLAS-MUROS,SP15077,7,0.1065,1,7.0714,14.6436
63,2021-01-18,TERRA DE LEMOS-QUIROGA,SP27031,7,0.123,5,-3.6143,66
64,2021-01-18,MARCHENA (SERRANÍA SUDOESTE),SP41060,7,0.1596,5,0.2571,40.5605
65,2021-01-18,MALAGÓN,SP13052,7,0.0585,3,-0.1667,66
66,2021-01-18,PAMPLONA,SP31201,7,0.1541,4,1.1429,28.8958
67,2021-01-18,ZARAGOZA,SP50297,7,0.0721,1,3.0286,21.2747
68,2021-01-18,EJEA DE LOS CABALLEROS,SP50095,7,0.205,4,2.6714,22.256
69,2021-01-18,CAMP DE TÚRIA,SP46147,7,0.0254,1,0.3,39.3551
70,2021-01-18,HERRERA DEL DUQUE,SP06063,7,0.094,5,-4.0714,66
71,2021-01-18,MONTSIA (AMPOSTA),SP43014,7,0.7673,5,6.4714,15.337
72,2021-01-18,AVILA,SP05019,7,0.0373,2,-3.5143,66
73,2021-01-18,PIEDRABUENA,SP13063,7,0.036,2,-5.6,66
74,2021-01-18,SIERRA DE CÁDIZ,SP11024,7,0.0374,2,-0.2857,66
75,2021-01-18,RONDA (RONDA),SP29084,7,0.0771,5,-0.2857,66
76,2021-01-18,REINOSA,SP39059,7,0.2035,5,-8.8143,66
77,2021-01-18,FABERO,SP24070,7,0.018,1,-4.6571,66
78,2021-01-18,SANTIAGO,SP15078,7,0.0667,1,1.7,25.7905
79,2021-01-18,MADRIDEJOS,SP45087,7,0.1976,5,-10.6571,66
80,2021-01-18,SIERO,SP33066,7,0.3438,5,1,29.94
81,2021-01-18,MIRANDA DE EBRO,SP09219,7,0.0782,1,2.1714,23.8765
82,2021-01-18,LUARCA,SP33034,7,0.0558,1,3.6714,19.7695
83,2021-01-18,PASTRANA,SP19212,7,0.0348,2,-5.5429,66
84,2021-01-18,OCAÑA,SP45121,7,0.1956,5,-10.325,66
85,2021-01-18,TORDESILLAS,SP47165,7,0.0585,3,-7.4571,66
86,2021-01-18,TORO,SP49219,7,0.0199,1,-5.3571,66
87,2021-01-18,NAVALMORAL DE LA MATA,SP10131,7,0.1975,5,-6.1143,66
88,2021-01-18,NOROESTE (CARAVACA),SP30015,7,0.102,5,-0.9857,66
89,2021-01-18,BAÑEZA LA,SP24010,7,0.0743,4,-7.2857,66
90,2021-01-18,AZUAGA,SP06014,7,0.1444,4,0.6571,33.2233
91,2021-01-18,CASTUERA,SP06036,7,0.2863,5,-2.5143,66
92,2021-01-18,TOLEDO,SP45168,7,0.1181,5,-10.325,66
93,2021-01-18,SEGRIA (LLEIDA),SP25120,7,0.239,5,-3.3429,66
94,2021-01-18,TOMELLOSO,SP13082,7,0.0273,1,-5.2143,66
95,2021-01-18,SARIÑENA,SP22213,7,0.0796,5,-2.3429,66
96,2021-01-18,LERMA,SP09194,7,0.0229,1,-10.5571,66
97,2021-01-18,BALTANAS,SP34022,7,0.116,5,-7.1714,66
98,2021-01-18,NAVARREDONDA DE GREDOS,SP05165,7,0.0152,1,-5.5714,66
99,2021-01-18,LA RODA,SP02069,7,0.0296,1,-6.9,66
100,2021-01-18,VALLADOLID,SP47186,7,0.0555,3,-7.4571,66
101,2021-01-18,SELVA (SANTA COLOMA DE FARNERS),SP17180,7,0.1374,5,-2.8143,66
102,2021-01-18,CARMONA (LOS ARCORES),SP41024,7,0.3153,5,0.8286,31.4106
103,2021-01-18,LEON,SP24089,7,0.0835,5,-6.5857,66
104,2021-01-18,BAZA (ALTIPLANICIE SUR),SP18023,7,0.0984,5,-4.4714,66
105,2021-01-18,DAROCA,SP50094,7,0.2185,5,-13.2714,66
106,2021-01-18,ALT EMPORDA (FIGUERES),SP17066,7,0.4054,5,-1.15,66
107,2021-01-18,EL MAESTRAT,SP12124,7,0.0446,2,-3.0857,66
108,2021-01-18,VALDERROBRES,SP44246,7,0.0939,5,-0.5143,66
109,2021-01-18,ANDUJAR (SIERRA MORENA/CAMPIÑA JAEN),SP23005,7,0.0383,2,-3.9857,66
110,2021-01-18,CANTILLANA (VEGA DE SEVILLA),SP41023,7,0.2636,5,0.8286,31.4106
111,2021-01-18,ALMODOVAR DEL CAMPO,SP13015,7,0.0982,3,0.6429,33.3951
112,2021-01-18,LOGROSAN (ZORITA),SP10109,7,0.1746,5,-2.5143,66
113,2021-01-18,COGOLLUDO,SP19092,7,0.0315,2,-4.7857,66
114,2021-01-18,ANTEQUERA (ANTEQUERA),SP29015,7,0.2168,5,-1.9571,66
115,2021-01-18,CALDAS,SP36005,7,0.0698,2,0.3571,37.9916
116,2021-01-18,SAHAGUN,SP24139,7,0.3859,5,-6.4571,66
117,2021-01-18,HUESCAR (ALTIPLANICIE NORTE),SP18098,7,0.0377,2,-4.4714,66
118,2021-01-18,SANTA FE (VEGA DE GRANADA),SP18175,7,0.2295,5,-4.7429,66
119,2021-01-18,HUELMA (SIERRA MÁGINA),SP23044,7,0.0588,1,1.9714,24.6321
120,2021-01-18,UBEDA (LA LOMA),SP23092,7,0.0749,4,-1.8571,66
121,2021-01-18,SANGUESA,SP31216,7,0.0383,1,1.1429,28.8958
122,2021-01-18,MEDINA DE RIOSECO,SP47086,7,0.033,2,-7.4571,66
123,2021-01-18,ECIJA (LA CAMPIÑA),SP41039,7,0.0861,5,-0.3143,66
124,2021-01-18,GUADIX (HOYA-ALTIPLANICIE DE GUADIX),SP18089,7,0.0574,1,2.8286,21.809
125,2021-01-18,VERIN,SP32085,7,0.1453,5,-8.9714,66
126,2021-01-18,MORA DE RUBIELOS,SP44158,7,0.0894,5,-3.0857,66
127,2021-01-18,TERUEL,SP44216,7,0.0894,5,-13.4857,66
128,2021-01-18,VALLES ORIENTAL (GRANOLLERS),SP08096,7,0.0855,1,3.1,21.0924
129,2021-01-18,MONTALBÁN,SP44155,7,0.102,5,-16.0857,66
130,2021-01-18,CALZADA DE CALATRAVA,SP13027,7,0.1138,5,-2.3429,66
131,2021-01-18,OSONA (VIC),SP08298,7,0.0515,3,-2.4667,66
132,2021-01-18,GARROTXA (OLOT),SP17114,7,0.0639,4,-1.15,66
133,2021-01-18,CUENCA,SP16078,7,0.3236,5,-7.9167,66
134,2021-01-18,CAZALLA DE LA SIERRA (SIERRA NORTE),SP41032,7,0.2505,5,-2.7,66
135,2021-01-18,SIGUENZA,SP19257,7,0.042,2,-10.4571,66
136,2021-01-18,POZOBLANCO (PEDROCHES I ),SP14054,7,0.0455,1,0.6429,33.3951
137,2021-01-18,VALENCIA DE DON JUAN,SP24188,7,0.0417,2,-5.8571,66
138,2021-01-18,ALFAMBRA,SP44016,7,0.0895,5,-13.4857,66
139,2021-01-18,JEREZ DE LOS CABALLEROS,SP06070,7,0.049,3,-2.58,66
140,2021-01-18,ZAFRA,SP06158,7,0.1453,4,0.6571,33.2233
141,2021-01-18,MOTRIL (COSTA DE GRANADA),SP18140,7,0.0191,1,-3.7429,66
142,2021-01-18,SALDAÑA,SP34157,7,0.0273,1,-6.4571,66
143,2021-01-18,ALT URGELL (SEU D'URGELL),SP25203,7,0.0766,5,-5.0143,66
144,2021-01-18,SEGOVIA,SP40194,7,0.1339,5,-4.3429,66
145,2021-01-18,LOJA (VEGA/MONTES OCC.),SP18122,7,0.0763,5,-4.7429,66
146,2021-01-18,MONTORO (ALTO GUADALQUIVIR),SP14043,7,0.0682,2,0.6429,33.3951
147,2021-01-18,LINARES (SIERRA MORENA/CAMPIÑA JAEN),SP23055,7,0.0637,4,-2.3429,66
148,2021-01-18,BARBASTRO,SP22048,7,0.0522,3,-2.3429,66
149,2021-01-18,MONZÓN,SP22158,7,0.0248,1,-2.8714,66
150,2021-01-18,BERGUEDA (BERGA),SP08022,7,0.0189,1,-4.2429,66
151,2021-01-18,NOGUERA (BALAGUER),SP25040,7,0.0251,1,-2.8714,66
152,2021-01-18,PRAVIA,SP33051,7,0.0765,1,2.3429,23.2823
153,2021-01-18,MOTILLA DEL PALANCAR,SP16134,7,0.0905,5,-4.7286,66
154,2021-01-18,RIAZA,SP40170,7,0.0174,1,-4.7857,66
155,2021-01-18,ALBARRACÍN,SP44009,7,0.1776,5,-13.4857,66
156,2021-01-18,CANTAVIEJA,SP44059,7,0.0684,4,-3.0857,66
157,2021-01-18,TAUSTE,SP50252,7,0.121,2,2.6714,22.256
158,2021-01-18,LA PLANA ALTA,SP12135,7,0.0528,1,3.6286,19.8613
159,2021-01-18,CALAMOCHA,SP44050,7,0.0608,4,-13.2714,66
160,2021-01-18,PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL),SP21058,7,0.087,1,4.0714,18.9608
161,2021-01-18,LA COSTERA,SP46145,7,0.0566,3,-0.2857,66
162,2021-01-18,PAREDES DE NAVA,SP34123,7,0.0554,3,-7.1714,66
163,2021-01-18,BENAVENTE,SP49021,7,0.0464,3,-5.8571,66
164,2021-01-18,NAVALCARNERO,SP28096,7,0.0314,2,-6.5,66
165,2021-01-18,FRAGA,SP22112,7,0.0479,3,-2.8714,66
166,2021-01-18,VILLARES DEL SAZ,SP16269,7,0.0189,1,-10.0857,66
167,2021-01-18,VITIGUDINO,SP37376,7,0.0287,1,-5.5,66
168,2021-01-18,ASTUDILLO,SP34017,7,0.0376,2,-6.4571,66
169,2021-01-18,ALMANSA,SP02009,7,0.0287,1,-1.1429,66
170,2021-01-18,VALENCIA DE ALCANTARA,SP10203,7,0.0607,4,-1.8333,66
171,2021-01-18,LENA,SP33033,7,0.0273,1,-3.8286,66
172,2021-01-18,PONFERRADA,SP24115,7,0.0273,1,-5.2143,66
173,2021-01-18,MOLINA DE ARAGÓN,SP19190,7,0.0321,2,-18.9286,66
174,2021-01-18,SEPÚLVEDA,SP40195,7,0.0321,2,-5.4,66
175,2021-01-18,ÁGREDA,SP42004,7,0.0321,2,-7.4857,66
176,2021-01-18,CASTROJERIZ,SP09091,7,0.0388,2,-6.4571,66
177,2021-01-18,ILLUECA,SP50126,7,0.0185,1,-10.0429,66
178,2021-01-18,ALCARAZ,SP02008,7,0.0498,3,-1.8571,66
179,2021-01-18,BALAZOTE,SP02012,7,0.0178,1,-8.6857,66
180,2021-01-18,CIUDAD RODRIGO,SP37107,7,0.0182,1,-5.7571,66
181,2021-01-18,ASTORGA,SP24008,7,0.0178,1,-7.2857,66
182,2021-01-18,PALENCIA,SP34120,7,0.0444,2,-7.1714,66
1,2021-01-25,MADRID (C.U.),SP28079,7,1.0955,5,0.4571,36.0612
2,2021-01-25,ALMONTE (ENTORNO DE DOÑANA),SP21005,7,2.465,5,10.5857,11.4887
3,2021-01-25,SANLUCAR LA MAYOR (PONIENTE DE SEVILLA),SP41087,7,2.4913,5,8.1,13.5816
4,2021-01-25,LITORAL,SP11016,7,2.4376,5,12.1571,10.4063
5,2021-01-25,GIJON,SP33024,7,0.5943,5,9.2429,12.5495
6,2021-01-25,VIGO-O BAIXO MIÑO,SP36039,7,0.2975,4,7.3857,14.3035
7,2021-01-25,BURGOS,SP09059,7,0.0779,2,1.2429,28.2398
8,2021-01-25,CARTAYA (COSTA OCCIDENTAL),SP21021,7,0.9665,5,9.1286,12.6468
9,2021-01-25,ZAMORA,SP49275,7,0.126,3,2.1857,23.8252
10,2021-01-25,UTRERA (BAJO GUADALQUIVIR),SP41095,7,1.7928,5,8.1857,13.4993
11,2021-01-25,O SAR-BARBANZA,SP15065,7,0.492,5,6.7143,15.0489
12,2021-01-25,MANZANARES,SP13053,7,0.816,5,2.7714,21.9686
13,2021-01-25,CACERES,SP10037,7,0.7408,5,5.5714,16.508
14,2021-01-25,MERIDA,SP06083,7,0.6955,5,5.5714,16.508
15,2021-01-25,L'HORTA SUD-ALDAIA,SP46021,7,0.2772,4,6.7571,14.9991
16,2021-01-25,COLMENAR VIEJO,SP28045,7,0.6919,5,2.7714,21.9686
17,2021-01-25,BADAJOZ,SP06015,7,1.0176,5,5.8,16.1936
18,2021-01-25,DON BENITO,SP06044,7,0.7223,5,6.0714,15.8359
19,2021-01-25,ARANJUEZ,SP28013,7,0.5144,5,-0.7,66
20,2021-01-25,PONIENTE,SP04003,7,0.1368,1,11.5286,10.8214
21,2021-01-25,BAJO ANDARAX/CAMPO DE TABERNA,SP04013,7,0.2377,3,5.7714,16.2322
22,2021-01-25,A MARIÑA OCCIDENTAL,SP27066,7,0.1423,1,9.2429,12.5495
23,2021-01-25,PONTEVEDRA-O MORRAZO,SP36038,7,0.1536,2,7.3857,14.3035
24,2021-01-25,VELEZ-MALAGA (AXARQUÍA/COSTA DE MÁLAGA),SP29094,7,0.2712,2,13.45,9.616
25,2021-01-25,ORTEGAL,SP15061,7,0.1227,1,9.2429,12.5495
26,2021-01-25,LA JANDA,SP11023,7,0.3803,4,10.8286,11.3113
27,2021-01-25,TORRIJOS,SP45173,7,0.1583,4,1.5143,26.6951
28,2021-01-25,MALAGA (GUADAHORCE ORIENTAL),SP29067,7,0.6499,5,11.2143,11.0376
29,2021-01-25,POSADAS (VEGA DEL GUADALQUIVIR),SP14053,7,0.3947,5,4.5714,18.055
30,2021-01-25,ARABA-ALAVA,SP01059,7,0.7237,5,2.4143,23.0474
31,2021-01-25,TERRA DE SONEIRA,SP15093,7,0.1869,2,9.9286,11.9898
32,2021-01-25,LUGO,SP27028,7,0.1684,2,5.2571,16.962
33,2021-01-25,TALAVERA DE LA REINA,SP45165,7,0.6013,5,3.1429,20.9851
34,2021-01-25,SALAMANCA,SP37274,7,0.2683,5,1.3714,27.47
35,2021-01-25,BUSTURIALDEA,SP48021,7,0.1951,2,7.6,14.0799
36,2021-01-25,CAMPIÑA,SP11020,7,2.3082,5,6.5714,15.217
37,2021-01-25,IRURZUN,SP31904,7,0.2536,3,7.7143,13.9632
38,2021-01-25,DONOSTIALDEA-BIDASOA,SP20063,7,0.4226,5,7.4143,14.2733
39,2021-01-25,ARGANDA DEL REY,SP28014,7,0.5818,5,-0.4857,66
40,2021-01-25,TUDELA,SP31232,7,0.214,5,2.0143,24.4639
41,2021-01-25,HUESCA,SP22125,7,0.1074,2,1.6429,26.0579
42,2021-01-25,TRUJILLO,SP10195,7,0.5286,5,6.0714,15.8359
43,2021-01-25,TORRELAVEGA,SP39087,7,0.3529,5,7.3429,14.349
44,2021-01-25,GUADALAJARA,SP19130,7,0.2636,5,-0.8,66
45,2021-01-25,ALCALA DE HENARES,SP28005,7,0.1753,5,-0.4857,66
46,2021-01-25,PEÑARROYA-PUEBLONUEVO (VALLE DEL GUADIATO),SP14052,7,0.2453,4,4.5714,18.055
47,2021-01-25,BAIX LLOBREGAT (SANT BOI),SP08200,7,0.1747,2,7.0714,14.6436
48,2021-01-25,NAJERA,SP26102,7,0.046,1,0.3857,37.3898
49,2021-01-25,SANTO DOMINGO DE LA CALZADA,SP26138,7,0.0623,2,0.3857,37.3898
50,2021-01-25,VILLALPANDO,SP49250,7,0.2144,5,1.9286,24.804
51,2021-01-25,RIO ANDARAX/RIO NACIMIENTO,SP04030,7,0.0905,1,5.7714,16.2322
52,2021-01-25,SORIA,SP42173,7,0.0441,2,-0.0571,66
53,2021-01-25,CAMPO DE GIBRALTAR,SP11004,7,0.6839,5,11.5429,10.8118
54,2021-01-25,PLASENCIA,SP10148,7,0.1519,2,4.7429,17.7671
55,2021-01-25,ESTELLA,SP31097,7,0.1489,3,2.0143,24.4639
56,2021-01-25,TAFALLA,SP31227,7,0.1756,4,2.0143,24.4639
57,2021-01-25,XALLAS-MUROS,SP15077,7,0.1064,1,9.9286,11.9898
58,2021-01-25,TERRA DE LEMOS-QUIROGA,SP27031,7,0.1188,2,3,21.3489
59,2021-01-25,MARCHENA (SERRANÍA SUDOESTE),SP41060,7,0.1562,2,8.1857,13.4993
60,2021-01-25,MALAGÓN,SP13052,7,0.0719,1,4.2286,18.6646
61,2021-01-25,PAMPLONA,SP31201,7,0.1597,3,3.3429,20.5026
62,2021-01-25,ZARAGOZA,SP50297,7,0.087,1,3.6143,19.8921
63,2021-01-25,EJEA DE LOS CABALLEROS,SP50095,7,0.2286,5,2.0143,24.4639
64,2021-01-25,HERRERA DEL DUQUE,SP06063,7,0.0928,1,4.46,18.2479
65,2021-01-25,MONTSIA (AMPOSTA),SP43014,7,0.8395,5,5.4,16.7524
66,2021-01-25,RONDA (RONDA),SP29084,7,0.0766,1,5.7,16.3296
67,2021-01-25,REINOSA,SP39059,7,0.2152,5,0.3,39.3551
68,2021-01-25,FABERO,SP24070,7,0.019,1,-1.2143,66
69,2021-01-25,MADRIDEJOS,SP45087,7,0.2102,5,-0.5429,66
70,2021-01-25,SIERO,SP33066,7,0.3632,5,7.2429,14.4563
71,2021-01-25,MIRANDA DE EBRO,SP09219,7,0.0777,1,5.6286,16.4282
72,2021-01-25,OCAÑA,SP45121,7,0.1972,5,-0.7,66
73,2021-01-25,TORDESILLAS,SP47165,7,0.0602,2,0.5286,34.9259
74,2021-01-25,SELVA (SANTA COLOMA DE FARNERS),SP17180,7,0.1635,4,1.3857,27.389
75,2021-01-25,HUELMA (SIERRA MÁGINA),SP23044,7,0.0688,1,6.6857,15.0822
76,2021-01-25,UBEDA (LA LOMA),SP23092,7,0.0853,1,4.7333,17.7828
77,2021-01-25,SARIÑENA,SP22213,7,0.1035,2,1.6429,26.0579
78,2021-01-25,LERMA,SP09194,7,0.032,1,0.1714,43.7313
79,2021-01-25,BALTANAS,SP34022,7,0.1273,5,-0.5286,66
80,2021-01-25,NAVALMORAL DE LA MATA,SP10131,7,0.1941,3,4.0143,19.0713
81,2021-01-25,NOROESTE (CARAVACA),SP30015,7,0.1026,2,3.1571,20.9496
82,2021-01-25,BAÑEZA LA,SP24010,7,0.0744,4,0.0286,57.7428
83,2021-01-25,AZUAGA,SP06014,7,0.1392,2,6.4857,15.3197
84,2021-01-25,CASTUERA,SP06036,7,0.28,4,6.0714,15.8359
85,2021-01-25,TOLEDO,SP45168,7,0.1197,5,-0.7,66
86,2021-01-25,SEGRIA (LLEIDA),SP25120,7,0.2518,5,-0.0286,66
87,2021-01-25,VALLADOLID,SP47186,7,0.0536,1,0.5286,34.9259
88,2021-01-25,CARMONA (LOS ARCORES),SP41024,7,0.3244,4,8.1,13.5816
89,2021-01-25,LEON,SP24089,7,0.0848,2,1.1571,28.7986
90,2021-01-25,BAZA (ALTIPLANICIE SUR),SP18023,7,0.1027,5,-1.125,66
91,2021-01-25,DAROCA,SP50094,7,0.2271,5,0.2714,40.1377
92,2021-01-25,ALT EMPORDA (FIGUERES),SP17066,7,0.4431,5,1.0143,29.8291
93,2021-01-25,EL MAESTRAT,SP12124,7,0.0501,1,0.5429,34.7173
94,2021-01-25,VALDERROBRES,SP44246,7,0.0975,2,1.2571,28.1505
95,2021-01-25,CANTILLANA (VEGA DE SEVILLA),SP41023,7,0.2577,3,8.1,13.5816
96,2021-01-25,ALMODOVAR DEL CAMPO,SP13015,7,0.1011,1,4.8,17.6734
97,2021-01-25,LOGROSAN (ZORITA),SP10109,7,0.168,2,6.0714,15.8359
98,2021-01-25,COGOLLUDO,SP19092,7,0.0303,1,-1.9429,66
99,2021-01-25,ANTEQUERA (ANTEQUERA),SP29015,7,0.2165,3,4.8,17.6734
100,2021-01-25,CALDAS,SP36005,7,0.0689,1,6.7143,15.0489
101,2021-01-25,SAHAGUN,SP24139,7,0.3665,5,0.3286,38.6437
102,2021-01-25,HUESCAR (ALTIPLANICIE NORTE),SP18098,7,0.0424,2,-1.125,66
103,2021-01-25,SANTA FE (VEGA DE GRANADA),SP18175,7,0.2273,5,1.8857,24.9797
104,2021-01-25,LINARES (SIERRA MORENA/CAMPIÑA JAEN),SP23055,7,0.0716,1,4.7333,17.7828
105,2021-01-25,MEDINA DE RIOSECO,SP47086,7,0.031,1,0.5286,34.9259
106,2021-01-25,ECIJA (LA CAMPIÑA),SP41039,7,0.0828,1,7.0143,14.707
107,2021-01-25,VERIN,SP32085,7,0.139,3,1.55,26.5128
108,2021-01-25,MORA DE RUBIELOS,SP44158,7,0.0912,3,0.5429,34.7173
109,2021-01-25,TERUEL,SP44216,7,0.0912,5,-2.4571,66
110,2021-01-25,VALLES ORIENTAL (GRANOLLERS),SP08096,7,0.0907,1,7.1714,14.5338
111,2021-01-25,MONTALBÁN,SP44155,7,0.1079,5,-2.0,66
112,2021-01-25,CALZADA DE CALATRAVA,SP13027,7,0.1278,2,3.3571,20.4693
113,2021-01-25,OSONA (VIC),SP08298,7,0.0579,3,-1.8286,66
114,2021-01-25,GARROTXA (OLOT),SP17114,7,0.0697,2,1.0143,29.8291
115,2021-01-25,CUENCA,SP16078,7,0.3343,5,0.4143,36.831
116,2021-01-25,CAZALLA DE LA SIERRA (SIERRA NORTE),SP41032,7,0.2567,5,3.7857,19.5297
117,2021-01-25,MOTILLA DEL PALANCAR,SP16134,7,0.0983,2,1.3286,27.7183
118,2021-01-25,SIGUENZA,SP19257,7,0.0466,3,-0.8,66
119,2021-01-25,VALENCIA DE DON JUAN,SP24188,7,0.044,1,1.9286,24.804
120,2021-01-25,ALFAMBRA,SP44016,7,0.0938,5,-2.4571,66
121,2021-01-25,ZAFRA,SP06158,7,0.1409,2,6.4857,15.3197
122,2021-01-25,SALDAÑA,SP34157,7,0.0268,1,0.3286,38.6437
123,2021-01-25,ALT URGELL (SEU D'URGELL),SP25203,7,0.0789,5,-2.4714,66
124,2021-01-25,SEGOVIA,SP40194,7,0.135,5,-2.1714,66
125,2021-01-25,LOJA (VEGA/MONTES OCC.),SP18122,7,0.0826,2,1.8857,24.9797
126,2021-01-25,MONTORO (ALTO GUADALQUIVIR),SP14043,7,0.0651,1,4.8,17.6734
127,2021-01-25,BARBASTRO,SP22048,7,0.0544,1,1.6429,26.0579
128,2021-01-25,BERGUEDA (BERGA),SP08022,7,0.0212,1,-3.4429,66
129,2021-01-25,PRAVIA,SP33051,7,0.0736,1,7.8714,13.8055
130,2021-01-25,RIAZA,SP40170,7,0.0171,1,-1.9429,66
131,2021-01-25,ALBARRACÍN,SP44009,7,0.1756,5,-2.4571,66
132,2021-01-25,CANTAVIEJA,SP44059,7,0.0579,2,0.5429,34.7173
133,2021-01-25,TAUSTE,SP50252,7,0.1173,2,2.0143,24.4639
134,2021-01-25,CALAMOCHA,SP44050,7,0.0605,2,0.2714,40.1377
135,2021-01-25,PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL),SP21058,7,0.0837,1,9.1286,12.6468
136,2021-01-25,PAREDES DE NAVA,SP34123,7,0.0575,3,-0.5286,66
137,2021-01-25,BENAVENTE,SP49021,7,0.0466,1,1.9286,24.804
138,2021-01-25,FRAGA,SP22112,7,0.0511,1,1.8857,24.9797
139,2021-01-25,VILLARES DEL SAZ,SP16269,7,0.0212,1,-0.4571,66
140,2021-01-25,ASTUDILLO,SP34017,7,0.0363,1,0.3286,38.6437
141,2021-01-25,VALENCIA DE ALCANTARA,SP10203,7,0.0636,1,5.9857,15.9471
142,2021-01-25,LENA,SP33033,7,0.0287,1,-0.4143,66
143,2021-01-25,MOLINA DE ARAGÓN,SP19190,7,0.036,2,-3.4857,66
144,2021-01-25,SEPÚLVEDA,SP40195,7,0.036,2,-1.2333,66
145,2021-01-25,ÁGREDA,SP42004,7,0.036,2,-0.0571,66
146,2021-01-25,CASTROJERIZ,SP09091,7,0.0415,1,0.3286,38.6437
147,2021-01-25,ASTORGA,SP24008,7,0.0175,1,0.0286,57.7428
148,2021-01-25,PALENCIA,SP34120,7,0.0461,3,-0.5286,66
1,2021-02-01,MADRID (C.U.),SP28079,7,1.0836,5,7.9857,13.6927
2,2021-02-01,ALMONTE (ENTORNO DE DOÑANA),SP21005,7,2.2711,5,12.6429,10.0999
3,2021-02-01,SANLUCAR LA MAYOR (PONIENTE DE SEVILLA),SP41087,7,2.2937,5,12.0143,10.4987
4,2021-02-01,LITORAL,SP11016,7,2.2334,5,14.1714,9.2074
5,2021-02-01,GIJON,SP33024,7,0.5765,5,10.0857,11.867
6,2021-02-01,VIGO-O BAIXO MIÑO,SP36039,7,0.276,3,10.9571,11.219
7,2021-02-01,BURGOS,SP09059,7,0.0762,1,4.4143,18.3285
8,2021-02-01,CARTAYA (COSTA OCCIDENTAL),SP21021,7,0.8873,5,12.6857,10.0735
9,2021-02-01,ZAMORA,SP49275,7,0.1218,1,9.1143,12.659
10,2021-02-01,UTRERA (BAJO GUADALQUIVIR),SP41095,7,1.593,5,11.3286,10.9583
11,2021-02-01,O SAR-BARBANZA,SP15065,7,0.4564,5,11.2286,11.0276
12,2021-02-01,MANZANARES,SP13053,7,0.7713,5,7.5,14.1835
13,2021-02-01,CACERES,SP10037,7,0.6887,5,9.6857,12.1835
14,2021-02-01,MERIDA,SP06083,7,0.6109,5,9.6857,12.1835
15,2021-02-01,L'HORTA SUD-ALDAIA,SP46021,7,0.2109,2,10.3286,11.681
16,2021-02-01,COLMENAR VIEJO,SP28045,7,0.6966,5,5.7714,16.2322
17,2021-02-01,BADAJOZ,SP06015,7,0.8611,5,10.3857,11.6378
18,2021-02-01,DON BENITO,SP06044,7,0.6024,5,10.6714,11.4256
19,2021-02-01,ARANJUEZ,SP28013,7,0.4943,5,8.5429,13.1654
20,2021-02-01,PONIENTE,SP04003,7,0.1301,1,13.85,9.3868
21,2021-02-01,BAJO ANDARAX/CAMPO DE TABERNA,SP04013,7,0.2061,2,10.55,11.5151
22,2021-02-01,A MARIÑA OCCIDENTAL,SP27066,7,0.1485,1,11.1286,11.0976
23,2021-02-01,PONTEVEDRA-O MORRAZO,SP36038,7,0.1455,1,10.9571,11.219
24,2021-02-01,VELEZ-MALAGA (AXARQUÍA/COSTA DE MÁLAGA),SP29094,7,0.2695,2,12.9857,9.8907
25,2021-02-01,ORTEGAL,SP15061,7,0.106,1,11.1286,11.0976
26,2021-02-01,LA JANDA,SP11023,7,0.3598,3,12.4571,10.2157
27,2021-02-01,TORRIJOS,SP45173,7,0.1155,1,9.7714,12.1146
28,2021-02-01,MALAGA (GUADAHORCE ORIENTAL),SP29067,7,0.6788,5,13.65,9.5006
29,2021-02-01,POSADAS (VEGA DEL GUADALQUIVIR),SP14053,7,0.372,4,9,12.7577
30,2021-02-01,ARABA-ALAVA,SP01059,7,0.7214,5,6.4429,15.3716
31,2021-02-01,TERRA DE SONEIRA,SP15093,7,0.145,1,12.2286,10.3605
32,2021-02-01,LUGO,SP27028,7,0.1744,2,9.6714,12.195
33,2021-02-01,TALAVERA DE LA REINA,SP45165,7,0.5628,5,9.6143,12.2414
34,2021-02-01,SALAMANCA,SP37274,7,0.2804,4,6.0571,15.8543
35,2021-02-01,BUSTURIALDEA,SP48021,7,0.2016,2,9.2286,12.5616
36,2021-02-01,CAMPIÑA,SP11020,7,2.058,5,11.0857,11.1278
37,2021-02-01,IRURZUN,SP31904,7,0.2334,3,8.8857,12.8576
38,2021-02-01,DONOSTIALDEA-BIDASOA,SP20063,7,0.3785,4,8.7571,12.9716
39,2021-02-01,ARGANDA DEL REY,SP28014,7,0.5741,5,7.2286,14.4717
40,2021-02-01,TUDELA,SP31232,7,0.1741,3,4.9571,17.4215
41,2021-02-01,HUESCA,SP22125,7,0.0919,1,5.1571,17.1122
42,2021-02-01,TRUJILLO,SP10195,7,0.4816,5,10.6714,11.4256
43,2021-02-01,TORRELAVEGA,SP39087,7,0.3074,3,9.6429,12.2182
44,2021-02-01,GUADALAJARA,SP19130,7,0.2454,5,2.9857,21.3862
45,2021-02-01,ALCALA DE HENARES,SP28005,7,0.16,2,7.2286,14.4717
